graph_id,nodes,edges,density,radius,diameter,avg_degree,degree_variance,max_degree,global_clustering,avg_clustering,freeman_centralization,avg_betweenness,avg_closeness,avg_pagerank,degree_entropy,assortativity,avg_shortest_path,transitivity,edge_connectivity,node_connectivity,spectral_radius,label
0,150,723,0.0646979865771812,3,4,9.64,6.670399999999999,16,0.06002667852378835,0.06087545787545788,0.043261382187556686,0.009801680875506378,0.4089922479423055,0.006666666666666668,3.3571722409310754,-0.08164310456417052,2.450648769574944,0.06002667852378835,4,4,10.351490274453933,ER
1,150,729,0.06523489932885906,3,4,9.72,9.014933333333333,17,0.054599744063699704,0.052184512655100886,0.04951931797569382,0.00976721688131084,0.41046611620708984,0.006666666666666667,3.546042053324128,0.02405550573496911,2.4455480984340046,0.054599744063699704,3,3,10.75002198784853,ER
2,150,799,0.07149888143176734,3,4,10.653333333333334,10.253155555555555,19,0.07958028766800283,0.0804423696931437,0.0567748957010702,0.009260535703488722,0.42342445927253014,0.006666666666666667,3.6425955086842623,-0.004893276545760959,2.370559284116331,0.07958028766800283,3,3,11.672004155843585,ER
3,150,747,0.06684563758389261,3,4,9.96,9.331733333333332,19,0.06492628161774652,0.06648672093873333,0.06149102122256485,0.009637221113731182,0.41382333797222204,0.006666666666666666,3.5932086472695848,-0.05642173309392607,2.426308724832215,0.06492628161774652,2,2,10.92695188017492,ER
4,150,733,0.06559284116331096,3,4,9.773333333333333,7.93528888888889,17,0.06575576430401367,0.06236576277752748,0.049156539089424994,0.009735171413023762,0.41107063248240294,0.006666666666666667,3.4843078103469267,0.008369194998554909,2.4408053691275167,0.06575576430401367,3,3,10.658944987238497,ER
5,150,788,0.0705145413870246,3,4,10.506666666666666,8.609955555555556,19,0.06304534840850436,0.06217240688448118,0.05777253763830945,0.00930527843279521,0.4220085016480096,0.006666666666666668,3.500476141008218,0.007730071235426065,2.3771812080536914,0.06304534840850436,4,4,11.402747339967839,ER
6,150,723,0.0646979865771812,3,4,9.64,7.910399999999998,18,0.05745614035087719,0.05690474014003426,0.056865590422637405,0.009769030775742185,0.4100968538675113,0.006666666666666667,3.4626297354154043,-0.0029176378770283933,2.4458165548098436,0.05745614035087719,4,4,10.523328935284153,ER
7,150,764,0.0683668903803132,3,4,10.186666666666667,8.365155555555555,20,0.07023280146481821,0.07298089194374024,0.06675131507346273,0.00946490114275349,0.4176859483725046,0.006666666666666667,3.512368419896065,-0.04745222828188056,2.4008053691275166,0.07023280146481821,4,4,11.056579720343564,ER
8,150,728,0.06514541387024608,3,4,9.706666666666667,10.08728888888889,20,0.06765327695560254,0.06551660436799756,0.0700163250498821,0.009772658564604873,0.41044390189640123,0.006666666666666667,3.5943455209376935,-0.001918761037617719,2.4463534675615213,0.06765327695560254,2,2,10.843752920820886,ER
9,150,767,0.06863534675615213,3,4,10.226666666666667,10.961955555555555,19,0.07747816179263198,0.07441001379081875,0.05967712679122075,0.009470342826047523,0.4180854038421978,0.006666666666666667,3.6670462907291097,-0.000537337418573182,2.4016107382550334,0.07747816179263198,3,3,11.40265355352875,ER
10,150,761,0.06809843400447427,3,4,10.146666666666667,9.765155555555557,18,0.05381515663590277,0.06468186715245539,0.05341919100308362,0.009534433762621681,0.4163905052635144,0.006666666666666667,3.662592460317938,0.011521244412406434,2.411096196868009,0.05381515663590277,2,2,11.210816561323758,ER
11,150,769,0.06881431767337808,3,4,10.253333333333334,10.589155555555557,19,0.06902654867256637,0.06936299745432871,0.059495737348086344,0.00947638914081867,0.41795613122689657,0.006666666666666668,3.690856515174347,-0.004869148939630289,2.4025055928411634,0.06902654867256637,2,2,11.360985400853227,ER
12,150,763,0.06827740492170023,3,4,10.173333333333334,11.783288888888888,19,0.06774070785234047,0.0655990047104598,0.06003990567748957,0.009517504081262472,0.41716882990602094,0.006666666666666667,3.7298849602382242,-0.03253628135444381,2.4085906040268457,0.06774070785234047,1,1,11.400618533596662,ER
13,150,1605,0.1436241610738255,2,3,21.4,19.586666666666666,33,0.14898716786998334,0.14894995293179022,0.07890440776346816,0.006094080657839048,0.5263226769477808,0.006666666666666667,4.0798693495174465,0.025877816910530472,1.901923937360179,0.14898716786998334,10,10,22.378895805820598,ER
14,150,770,0.06890380313199106,3,4,10.266666666666667,8.715555555555557,22,0.06971369880600847,0.06892049889108712,0.07981135497914021,0.009411693572767398,0.4192173720378895,0.006666666666666666,3.5110515922073375,-0.03209256186859915,2.3929306487695747,0.06971369880600847,3,3,11.174963730073404,ER
15,150,1654,0.1480089485458613,2,3,22.053333333333335,17.717155555555554,34,0.14721584465160023,0.14845038930946203,0.0812624705242155,0.005976782151278795,0.5310464851612325,0.006666666666666665,3.976004123179304,-0.009657787323998312,1.8845637583892618,0.14721584465160023,11,11,22.880406731884484,ER
16,150,738,0.06604026845637584,3,4,9.84,7.654400000000001,16,0.0566356720202874,0.05363778813778814,0.04190096136404861,0.009668057319064031,0.41256124556911045,0.006666666666666667,3.41824952562449,0.007650749540438101,2.4308724832214765,0.0566356720202874,4,4,10.691816681342765,ER
17,150,1537,0.13753914988814317,2,3,20.493333333333332,19.169955555555553,33,0.13758399949042963,0.13834099299861216,0.0850716488300381,0.00621682084769333,0.5214555493199039,0.006666666666666667,4.068842757168253,-0.004204498417870421,1.920089485458613,0.13758399949042963,10,10,21.469272306766538,ER
18,150,755,0.06756152125279642,3,4,10.066666666666666,9.275555555555554,19,0.06683463731600583,0.06766673155992041,0.06076546345002721,0.009574339440111252,0.415124813586018,0.006666666666666667,3.5533574376303827,-0.0073226630661075804,2.4170022371364652,0.06683463731600583,4,4,11.069281634035626,ER
19,150,761,0.06809843400447427,3,4,10.146666666666667,9.79182222222222,19,0.07056530214424951,0.07275638814802901,0.06022129512062398,0.009513876292399782,0.4167714304013235,0.006666666666666667,3.5715163446797833,-0.021034482340307113,2.408053691275168,0.07056530214424951,4,4,11.178774397979078,ER
20,150,1556,0.1392393736017897,2,3,20.746666666666666,15.402488888888886,29,0.13700950409334714,0.13770827926432197,0.056140032650099765,0.006146683596348026,0.5242317177378504,0.006666666666666667,3.858582106454088,-0.01311340419126248,1.9097091722595079,0.13700950409334714,6,6,21.510160754386405,ER
21,150,1592,0.14246085011185683,2,3,21.226666666666667,16.89528888888889,32,0.14207601290785227,0.14118826491620293,0.07328133502630146,0.006074127819094263,0.5270257816816949,0.006666666666666667,3.9467361602033737,0.014648907334728107,1.8989709172259508,0.14207601290785227,12,12,22.06668257096744,ER
22,150,1603,0.14344519015659954,2,3,21.373333333333335,16.020622222222226,34,0.13901358535144714,0.1395012919482909,0.08588790132414294,0.0060426869822842975,0.5283261295555103,0.006666666666666666,3.934270352342855,0.008790342192994736,1.894317673378076,0.13901358535144714,10,10,22.159993381035598,ER
23,150,1586,0.14192393736017897,2,3,21.14666666666667,18.09848888888889,34,0.14166916841789254,0.14148804106285376,0.08742971159078541,0.006065058346937541,0.5274485033481406,0.006666666666666667,4.03032244663484,-0.0016871935931087102,1.8976286353467562,0.14166916841789254,13,13,22.032669383924933,ER
24,150,1620,0.14496644295302014,2,3,21.6,17.586666666666666,32,0.1504713037963737,0.15013372155823415,0.07074188282241974,0.006014269302859907,0.5294815125017106,0.006666666666666666,4.037337499434991,0.007511137937431881,1.8901118568232662,0.1504713037963737,11,11,22.45393247761215,ER
25,150,1626,0.145503355704698,2,3,21.68,20.230933333333336,36,0.14862134706769484,0.14923835031778745,0.09740613096317795,0.005994316464115122,0.5302951332575753,0.006666666666666666,4.083359313786405,-0.04412333567439689,1.887158836689038,0.14862134706769484,11,11,22.609263773825447,ER
26,150,1542,0.13798657718120805,2,3,20.56,16.2064,34,0.1369155751027823,0.13681371828452368,0.09142027933974242,0.006176310538726646,0.5229461387385917,0.006666666666666665,3.9313377424391303,-0.01620203522161965,1.9140939597315436,0.1369155751027823,11,11,21.37361624231019,ER
27,150,1610,0.14407158836689038,2,3,21.466666666666665,18.94222222222222,32,0.14095775631327825,0.14206943869321756,0.07164883003809178,0.006030594352742004,0.5288649625142615,0.006666666666666665,4.0976467211717305,-0.045654326291372754,1.8925279642058166,0.14095775631327825,11,11,22.34124137628089,ER
28,150,757,0.06774049217002237,3,4,10.093333333333334,7.964622222222221,18,0.060954417858575055,0.06155468931939519,0.05378196988935244,0.009544712497732633,0.41587195209374284,0.006666666666666667,3.477939635031142,0.0133349115458812,2.4126174496644297,0.060954417858575055,3,3,10.963492638579353,ER
29,150,1509,0.13503355704697986,2,3,20.12,17.53226666666667,32,0.13415321377664335,0.13549920050701877,0.08080899691637947,0.006226494951327166,0.5210500945216683,0.006666666666666666,3.9955440283405785,-0.005135407443438923,1.9215212527964205,0.13415321377664335,9,9,21.01998138901726,ER
30,150,767,0.06863534675615213,3,4,10.226666666666667,12.241955555555554,20,0.06866791744840525,0.0726149718874177,0.06647923090876111,0.009483644718544048,0.41792510853716647,0.006666666666666667,3.704472243723828,-0.06982169928095457,2.403579418344519,0.06866791744840525,1,1,11.439522054601566,ER
31,150,754,0.06747203579418344,3,4,10.053333333333333,9.370488888888888,17,0.06534732368176385,0.06671658080481609,0.047251949936513694,0.00947276135195598,0.4175768018433424,0.006666666666666667,3.570705135954975,-0.06306171166781652,2.4019686800894853,0.06534732368176385,4,4,11.02425742272705,ER
32,150,729,0.06523489932885906,3,4,9.72,8.508266666666668,17,0.06604717655468191,0.06685365397130104,0.04951931797569382,0.009743031622226254,0.4112024954461208,0.006666666666666667,3.5505442002525003,-0.00023428322763153765,2.4419686800894853,0.06604717655468191,2,2,10.660431258701047,ER
33,150,835,0.07472035794183446,3,4,11.133333333333333,11.72888888888889,19,0.0799700246226314,0.08199217306028452,0.053509885724650826,0.008990265433218453,0.43073473768299225,0.006666666666666667,3.7139464457898232,-0.04017187304943164,2.330559284116331,0.0799700246226314,3,3,12.22756240795815,ER
34,150,727,0.06505592841163312,3,4,9.693333333333333,9.185955555555557,20,0.07190754743900699,0.07479892547539606,0.0701070197714493,0.009744240885180482,0.41089557976901014,0.006666666666666667,3.541199245400601,-0.05777332219961178,2.4421476510067115,0.07190754743900699,3,3,10.658952827464596,ER
35,150,743,0.06648769574944072,3,4,9.906666666666666,7.377955555555557,17,0.05982429228838377,0.06120968900380665,0.048249591873752946,0.009649313743273474,0.41314607606723863,0.006666666666666667,3.3825497802601965,0.018664862344693167,2.4280984340044744,0.05982429228838377,4,4,10.732123156172248,ER
36,150,702,0.06281879194630872,3,4,9.36,7.9770666666666665,17,0.06169785062625638,0.057421275891864125,0.05196807545800834,0.0099794425297781,0.4051006670307971,0.006666666666666667,3.447021081564477,0.04312998695539553,2.476957494407159,0.06169785062625638,3,3,10.342257085917973,ER
37,150,732,0.06550335570469798,3,4,9.76,8.289066666666665,17,0.061842479385840206,0.06106335603394426,0.0492472338109922,0.009729125098252616,0.41130422711828,0.006666666666666667,3.469116333041183,0.02084442314358503,2.439910514541387,0.061842479385840206,4,4,10.706836431000092,ER
38,150,748,0.0669351230425056,3,4,9.973333333333333,10.665955555555556,24,0.06869009584664537,0.0681539714205618,0.09541084708869944,0.009578571860451053,0.41531614370868314,0.006666666666666667,3.6261939931293186,-0.02421075489713118,2.417628635346756,0.06869009584664537,3,3,11.122509579545506,ER
39,150,1611,0.14416107382550336,2,3,21.48,17.849600000000002,31,0.14522894092974484,0.14563341267408716,0.06475603119898422,0.006035431404558921,0.5286408735506982,0.006666666666666666,4.014532225013128,-0.008572636834370866,1.8932438478747204,0.14522894092974484,13,13,22.32956176606576,ER
40,150,782,0.06997762863534676,3,4,10.426666666666666,8.951288888888891,20,0.06564714658709436,0.06625199671329703,0.06511881008525304,0.009335510006650949,0.4212033884810854,0.006666666666666668,3.4857426106180633,-0.04012449490296782,2.38165548098434,0.06564714658709436,5,5,11.34043122172612,ER
41,150,1317,0.11785234899328859,3,3,17.56,15.4464,30,0.12225705329153605,0.12179096492214976,0.08461817522220207,0.006708990870064696,0.5027022074811495,0.006666666666666667,3.936807288393547,-0.003683258432120167,1.992930648769575,0.12225705329153605,8,8,18.477899860656056,ER
42,150,742,0.06639821029082774,3,4,9.893333333333333,9.69528888888889,19,0.07002457002457002,0.06821820273523059,0.06194449483040087,0.009675917528266522,0.4128084856240645,0.006666666666666667,3.5906528576689776,0.036683123465382085,2.432035794183445,0.07002457002457002,4,4,11.01263435661168,ER
43,150,1245,0.11140939597315436,3,3,16.6,13.813333333333333,28,0.11159448626454199,0.11087927928749035,0.07754398693996009,0.006894612733538909,0.4958447050483909,0.006666666666666667,3.8594478606710294,-0.00984073990379541,2.0204026845637584,0.11159448626454199,8,8,17.475091505781364,ER
44,150,767,0.06863534675615213,3,4,10.226666666666667,11.548622222222223,21,0.0717612992572076,0.07305111446287915,0.07328133502630146,0.009483644718544048,0.41783660728345884,0.006666666666666667,3.735089216880788,-0.04204023412522726,2.403579418344519,0.0717612992572076,3,3,11.394669191642839,ER
45,150,741,0.06630872483221477,3,4,9.88,9.2256,19,0.05858085808580858,0.058319271830107745,0.06203518955196807,0.009650523006227705,0.4133496773103144,0.006666666666666667,3.601332435604633,-0.030943256020431062,2.4282774049217,0.05858085808580858,3,3,10.850870616828916,ER
